Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 140,SANTA MONICA,Los Angeles,90405,R,7,,"3,845,000.00","4,165,969.00","3,585,635.00",up to $1M,Class 1,Healthcare Professional Services ,Interior Design Services,Healthcare
Company 141,West Hollywood,Los Angeles,90069,I,2,,"175,000.00","73,000.00","77,983.00",up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Interior Design Services,Consumer Products
Company 142,Los Angeles,Los Angeles,90071,R,30,,"4,579,173.00","10,737,235.00","6,359,187.00",$1M to $10M,Class 2,Professional Services ,Commercial and Institutional Building Construction,Professional Services
Company 143,Sherman Oaks,Los Angeles,91403,I,16,,"3,212,125.86","3,805,928.00","3,266,075.00",$1M to $10M,Class 2,Financial Services Manufacturing Suppliers Technology ,Security Systems Services (except Locksmiths) ,Financial Services
Company 144,Hawthorne,Los Angeles,90250,I,8,,"2,595,434.00","2,333,275.00",,$1M to $10M,Class 2,Consumer Products Healthcare Retail and Apparel ,Emergency and Other Relief Services ,Consumer Products
Company 145,Los Angeles,Los Angeles,90017,R,7,,"3,689,884.00",,,$1M to $10M,Class 2,Financial Services Retail and Apparel ,Offices of Lawyers,Financial Services
Company 146,Lawndale ,Los Angeles,90260,R,1,,"72,365.00","69,500.00","72,653.00",up to $1M,Class 1,Technology ,Electrical Contractors and Other Wiring Installation Contractors,Technology
Company 147,San Dimas,Los Angeles,91773,L,30,,"985,000.00","2,800,000.00","4,656,065.00",$1M to $10M,Class 2,Financial Services Professional Services Retail and Apparel ,Painting and Wall Covering Contractors,Financial Services
Company 148,Pasadena,Los Angeles,91101,I,2,,,,,up to $1M,Class 1,Retail and Apparel ,Footwear Manufacturing ,Retail and Apparel
Company 149,Monrovia,Los Angeles,91016,L,7,,"1,001,339.00","3,098,586.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Retail and Apparel Utilities ","Highway, Street, and Bridge Construction","Advertising, Entertainment, Media and Sports"
Company 150,Culver City,Los Angeles,90230,L,3,,,,,$1M to $10M,Class 2,Food and Beverage Manufacturing Suppliers Professional Services ,Temporary Help Services,Food and Beverage
Company 151,Santa Fe Springs,Los Angeles,90670,L,2,,"233,154.00",,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Financial Services Professional Services ",Used Household and Office Goods Moving,"Advertising, Entertainment, Media and Sports"
Company 152,Los Angeles,Los Angeles,90067,N,3,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Petrochemical and Energy Utilities ",Attorneys' Office,"Advertising, Entertainment, Media and Sports"
Company 153,Glendale,Los Angeles,91208,L,2,,,,,$1M to $10M,Class 2,Professional Services Utilities ,Engineering Services,Professional Services
Company 154,Los Angeles,Los Angeles,90028,I,10,,"982,089.00","2,285,815.00","2,309,884.00",$1M to $10M,Class 2,Consumer Products Retail and Apparel Technology ,Marketing Consulting Services ,Consumer Products
Company 155,Los Angeles,Los Angeles,90067,R,2,,,,,up to $1M,Class 1,Food and Beverage Manufacturing Suppliers Technology ,Offices of Lawyers,Food and Beverage
Company 156,Los Angeles,Los Angeles,90045,N,8,,,,,$1M to $10M,Class 2,Professional Services ,Marketing Consulting Services ,Professional Services
Company 157,Los Angeles,Los Angeles,90033,N,12,,,,,$1M to $10M,Class 2,Consumer Products Food and Beverage ,Roasted Nuts and Peanut Butter Manufacturing ,Consumer Products
Company 158,Los Angeles,Los Angeles,90071,N,12,,"6,620,415.00","9,188,792.00","10,946,300.00",$10M to $50M,Class 3,Financial Services Professional Services ,Law Firm,Financial Services
Company 159,Los Angeles,Los Angeles,90045,N,44,,"4,276,471.00","20,114,034.39","27,596,640.15",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports ",Media Buying Agencies,"Advertising, Entertainment, Media and Sports"
Company 160,Los Angeles,Los Angeles,90017,N,1,,"738,889.00","2,187,032.00","968,691.00",up to $1M,Class 1,Professional Services ,Executive Search Services ,Professional Services
Company 161,Downey,Los Angeles,90241,N,7,,"1,567,734.00","1,947,156.00","1,984,649.00",$1M to $10M,Class 2,Healthcare Manufacturing Suppliers Transportation ,"Specialized Freight, Trucking Local",Healthcare
Company 162,Carson,Los Angeles,90746,N,20,,"14,902,332.00","26,368,662.00","24,978,706.00",$10M to $50M,Class 3,Food and Beverage Healthcare Manufacturing Suppliers ,Apparel Accessories and Other Apparel Manufacturing ,Food and Beverage
Company 163,Altadena,Los Angeles,91001,R,10,,,,,$1M to $10M,Class 2,Consumer Products Financial Services Professional Services ,Commercial and Institutional Building Construction ,Consumer Products
Company 164,Valencia,Los Angeles,91355,I,8,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Other Services Related to Advertising ,"Advertising, Entertainment, Media and Sports"
Company 165,Los Angeles,Los Angeles,90064,I,14,,,,,$1M to $10M,Class 2,Healthcare Professional Services ,Other Scientific and Technical Consulting Services,Healthcare
Company 166,City of Industry,Los Angeles,91746,N,1,,,,,up to $1M,Class 1,Consumer Products Retail and Apparel Utilities ,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,Consumer Products
Company 167,Inglewood,Los Angeles,90301,R,147,,"6,043,014.00","8,149,695.00","9,909,091.00",$1M to $10M,Class 2,Petrochemical and Energy Professional Services Utilities ,Security Guards and Patrol Services ,Petrochemical and Energy
Company 168,Pasadena,Los Angeles,91106,R,7,,,,,$1M to $10M,Class 2,Professional Services ,Engineering Services,Professional Services
Company 169,Los Angeles,Los Angeles,90071,N,23,,"8,746,510.00","10,628,006.00","8,756,501.00",$10M to $50M,Class 3,Professional Services ,Offices of Lawyers,Professional Services
Company 170,PALOS VERDES ESTATES,Los Angeles,90274,N,2,,,,,$1M to $10M,Class 2,Automotive ,Engineering Services,Automotive
Company 171,South Pasadena,Los Angeles,91030,I,2,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Portfolio Management ,"Advertising, Entertainment, Media and Sports"
Company 172,Los Angeles,Los Angeles,90067,N,7,,,,,up to $1M,Class 1,Financial Services ,Portfolio Management ,Financial Services
Company 173,Pasadena,Los Angeles,91101,N,11,,"1,930,515.00","1,967,042.00","2,702,808.00",$1M to $10M,Class 2,Professional Services ,Offices of Lawyers,Professional Services
Company 174,Los Angeles,Los Angeles,90010,R,2,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Technology ",Temporary Help Services,"Advertising, Entertainment, Media and Sports"
Company 175,Pasadena,Los Angeles,91105,N,17,,"750,000.00","1,250,000.00","2,700,000.00",$1M to $10M,Class 2,Financial Services Technology Utilities ,Marketing Consulting Services ,Financial Services
Company 176,Los Angeles,Los Angeles,90017,I,44,,"15,000,000.00","16,500,000.00","14,500,000.00",$10M to $50M,Class 3,Automotive Financial Services Technology ,Offices of Lawyers,Automotive
Company 177,Glendale,Los Angeles,91203,N,8,,"9,012,226.00","10,330,241.00",,$10M to $50M,Class 3,Automotive Manufacturing Suppliers Utilities ,Employment Placement Agencies ,Automotive
Company 178,Burbank,Los Angeles,91505,I,6,,"3,100.00","3,215,000.00",,$1M to $10M,Class 2,Consumer Products Financial Services Transportation ,Software Publishers,Consumer Products
Company 179,Los Angeles,Los Angeles,90038,L,26,,"8,979,912.00","12,036,074.00","11,434,474.00",$10M to $50M,Class 3,Consumer Products Healthcare Technology ,Commercial and Institutional Building Construction ,Consumer Products
Company 180,Palmdale,Los Angeles,93551,R,5,,,,,up to $1M,Class 1,Financial Services ,Offices of Real Estate Agents and Brokers,Financial Services
Company 181,VALENCIA,Los Angeles,91355,R,18,,"2,383.00","2,600,000.00","4,065,569.00",$1M to $10M,Class 2,Consumer Products Manufacturing Suppliers Professional Services ,Commercial and Institutional Building Construction ,Consumer Products
Company 182,VALENCIA,Los Angeles,91355,R,1,,,,,up to $1M,Class 1,Petrochemical and Energy Professional Services Utilities ,Public Relations Agencies,Petrochemical and Energy
Company 183,ALHAMBRA,Los Angeles,91803,N,14,,"14,716,567.00","14,522,070.90","11,122,606.23",$10M to $50M,Class 3,Professional Services ,Cut Stone and Stone Product Manufacturing ,Professional Services
Company 184,Azusa,Los Angeles,91702,N,78,,,,,$10M to $50M,Class 3,Healthcare ,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Healthcare
Company 185,Gardena,Los Angeles,90248,R,19,,,,,$1M to $10M,Class 2,Financial Services Technology ,Custom Computer Programming Services ,Financial Services
Company 186,Pasadena,Los Angeles,91101,R,2,,,,,$1M to $10M,Class 2,Consumer Products Food and Beverage ,Offices of Lawyers,Consumer Products
Company 187,Rancho Dominguez,Los Angeles,90220,I,27,,"15,077,847.00","23,081,225.00","37,475,623.00",$10M to $50M,Class 3,Automotive ,"Process, Physical Distribution, and Logistics Consulting Services",Automotive
Company 188,Rosemead,Los Angeles,91770,N,18,,"7,000,001.00","10,000,000.00","11,000,000.00",$10M to $50M,Class 3,Automotive Manufacturing Suppliers Transportation ,Rubber Product Manufacturing for Mechanical Use ,Automotive
Company 189,North Hollywood,Los Angeles,91601,N,3,,"1,216,922.27",,,$1M to $10M,Class 2,Healthcare ,Commercial Printing (except Screen and Books) ,Healthcare
Company 190,El Monte,Los Angeles,91732,R,34,,"10,230,919.00","11,975,797.00",,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports ",All Other Specialty Trade Contractors,"Advertising, Entertainment, Media and Sports"
Company 191,Downey,Los Angeles,90241,R,41,,"5,543,241.00","6,539,814.19","6,530,000.00",$1M to $10M,Class 2,Consumer Products Financial Services Professional Services ,Roofing Contractors ,Consumer Products
Company 192,GLENDALE,Los Angeles,91205,R,16,,,,,$1M to $10M,Class 2,Professional Services ,Engineering Services,Professional Services
Company 193,ALHAMBRA,Los Angeles,91803,N,14,,"4,141.00","10,002.00",0,up to $1M,Class 1,Professional Services ,New Multifamily Housing Construction (except For-Sale Builders) ,Professional Services
Company 194,GARDENA,Los Angeles,90248,N,3,,"1,565,000.00","1,500,000.00","1,400,777.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",All Other Miscellaneous Textile Product Mills ,"Advertising, Entertainment, Media and Sports"
Company 195,Long Beach,Los Angeles,90810,I,8,,,,,$10M to $50M,Class 3,Food and Beverage ,Fruit and Vegetable Canning ,Food and Beverage
Company 196,Long Beach,Los Angeles,90807,N,29,,"7,128,152.00","6,553,152.00","6,740,892.00",$1M to $10M,Class 2,Professional Services ,Janitorial Services ,Professional Services
Company 197,GARDENA,Los Angeles,90249,I,18,,"11,308,710.00","12,627,686.80","20,509,222.00",$10M to $50M,Class 3,Consumer Products ,Coffee and Tea Manufacturing ,Consumer Products
Company 198,Torrance,Los Angeles,90501,N,70,,,,,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Automotive ","Specialized Freight (except Used Goods) Trucking, Long-Distance","Advertising, Entertainment, Media and Sports"
Company 199,Pomona,Los Angeles,91770,L,39,,,,,$10M to $50M,Class 3,Utilities ,Water and Sewer Line and Related Structures Construction ,Utilities
Company 200,SAN PEDRO,Los Angeles,90731,N,1,,"50,000.00",,,up to $1M,Class 1,Automotive Petrochemical and Energy Utilities ,Remediation Services ,Automotive
Company 201,Torrance,Los Angeles,90501,R,26,,"8,059,973.91","6,409,439.91","7,183,438.78",$1M to $10M,Class 2,Food and Beverage Professional Services Technology ,Office Machinery and Equipment Rental and Leasing,Food and Beverage
Company 202,Norwalk,Los Angeles,90650,L,16,,"6,453,249.00","3,648,001.00","4,323,170.51",$1M to $10M,Class 2,Healthcare Professional Services Utilities ,"Plumbing, Heating, and Air-Conditioning Contractors",Healthcare
Company 203,Covina,Los Angeles,91723,R,12,,"1,315,520.00","1,465,853.00","1,911,937.00",$1M to $10M,Class 2,Food and Beverage Healthcare Retail and Apparel ,Electrical Contractors and Other Wiring Installation Contractors,Food and Beverage
Company 204,Inglewood ,Los Angeles,90301,N,1,,,,,up to $1M,Class 1,Professional Services ,Administrative Management and General Management Consulting Services ,Professional Services
Company 205,TORRANCE,Los Angeles,90505,I,4,,"3,803,784.00","5,906,192.00","6,033,797.05",$1M to $10M,Class 2,Automotive ,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,Automotive
Company 206,Diamond Bar,Los Angeles,91765,L,24,,"3,627,725.00","3,843,017.00","2,371,715.00",$1M to $10M,Class 2,Financial Services Manufacturing Suppliers ,Janitorial Services ,Financial Services
Company 207,Los Angeles,Los Angeles,90010,N,39,,"3,643,142.00","3,113,924.00","6,564,707.00",$1M to $10M,Class 2,Professional Services Transportation ,Parking Lots and Garages ,Professional Services
Company 208,LOS ANGELES,Los Angeles,90038,L,25,,"7,620,347.00","8,738,492.00","12,100,190.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Retail and Apparel ",Paint and Wallpaper Stores ,"Advertising, Entertainment, Media and Sports"
Company 209,CULVER CITY,Los Angeles,90230,I,2,,"947,000.00","1,296,000.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Food and Beverage ",Marketing Consulting Services ,"Advertising, Entertainment, Media and Sports"
Company 210,CANOGA PARK,Los Angeles,91303,N,19,,"3,062,643.00","3,147,879.00","4,596,658.00",$1M to $10M,Class 2,Healthcare ,Surgical Appliance and Supplies Manufacturing ,Healthcare
Company 211,Santa Fe Springs,Los Angeles,90670,I,2,,"1,726,182.00","390,681.00","574,167.00",up to $1M,Class 1,Consumer Products ,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,Consumer Products
Company 212,Glendora,Los Angeles,91740,R,8,,"1,026,770.00","1,217,345.00","1,401,588.00",$1M to $10M,Class 2,Technology Utilities ,Electrical Contractors and Other Wiring Installation Contractors,Technology
Company 213,Los Angeles,Los Angeles,90071,L,5,,"1,434,574.00","1,167,214.00",977,up to $1M,Class 1,Food and Beverage Manufacturing Suppliers Professional Services ,Offices of Certified Public Accountants ,Food and Beverage
Company 214,San Fernando,Los Angeles,91340,N,15,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Transportation ,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,Manufacturing Suppliers
Company 215,Hawthorne,Los Angeles,90250,N,98,,"20,000,000.00","24,876,469.00","48,720,546.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports ",All Other Business Support Services ,"Advertising, Entertainment, Media and Sports"
Company 216,POMONA,Los Angeles,91766,I,25,,"12,704,231.78","12,032,547.62","20,162,953.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Food and Beverage Retail and Apparel ",Wood Kitchen Cabinet and Countertop Manufacturing,"Advertising, Entertainment, Media and Sports"
Company 217,POMONA,Los Angeles,91766,N,19,,"7,019,165.00","7,177,451.00","10,950,532.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Manufacturing Suppliers ,Home Furnishing Merchant Wholesalers ,Consumer Products
Company 218,Santa Monica,Los Angeles,90403,N,25,,,,,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 219,City of Industry,Los Angeles,91745,I,25,,,,,$1M to $10M,Class 2,Manufacturing Suppliers ,Hardware Manufacturing,Manufacturing Suppliers
Company 220,Commerce,Los Angeles,90040,R,46,,"7,749,469.00","6,167,297.26","8,495,000.00",$10M to $50M,Class 3,Healthcare Professional Services Technology ,Electrical Contractors and Other Wiring Installation Contractors,Healthcare
Company 221,COMMERCE,Los Angeles,90040,N,3,,"10,863,403.00","4,101,495.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Stationery Product Manufacturing,"Advertising, Entertainment, Media and Sports"
Company 222,Monterey Park,Los Angeles,91754,N,23,,"890,000.00",,,up to $1M,Class 1,Food and Beverage ,Frozen Specialty Food Manufacturing ,Food and Beverage
